targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-8.048 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-8.048 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-8.048 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.048 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.048 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.048 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -4.050 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -4.050 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -4.050 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -4.050 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.048 -4.952 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.048 -4.952 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.048 -4.952 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.952 -4.048 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.952 -4.048 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.952 -4.048 0.000 0.000 0.000 0.000 
-8.952 -4.050 -5.000 -4.002 0.000 0.000 0.000 0.000 
-8.952 -4.050 -5.000 -4.002 0.000 0.000 0.000 0.000 
-8.952 -4.050 -5.000 -4.002 0.000 0.000 0.000 0.000 
-8.048 -4.952 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.952 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.952 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.952 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.048 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.048 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.048 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.998 -4.002 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.998 -4.002 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.998 -4.002 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.050 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.050 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.050 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.952 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.048 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.998 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.998 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-8.998 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -4.000 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -3.050 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -3.050 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.000 -3.050 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.048 -3.952 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.048 -3.952 0.000 0.000 0.000 0.000 
-9.000 -4.000 -5.048 -3.952 0.000 0.000 0.000 0.000 
-8.953 -4.000 -5.002 -3.048 0.000 0.000 0.000 0.000 
-8.953 -4.000 -5.002 -3.048 0.000 0.000 0.000 0.000 
-8.953 -4.000 -5.002 -3.048 0.000 0.000 0.000 0.000 
-8.953 -4.000 -5.002 -3.048 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.000 -3.952 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.000 -3.952 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.000 -3.952 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.000 -3.998 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.000 -3.998 0.000 0.000 0.000 0.000 
-8.952 -4.000 -5.000 -3.998 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.000 -3.050 0.000 0.000 0.000 0.000 
-8.048 -4.000 -5.000 -3.050 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.953 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.953 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.002 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.002 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.002 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.952 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.952 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.952 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.950 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.950 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.950 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.950 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.998 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.048 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.050 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.050 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.050 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.952 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.952 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.952 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.953 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.953 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.953 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.950 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.950 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.950 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.950 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.953 -8.952 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.953 -8.952 -11.000 0.000 0.000 0.000 0.000 
-12.000 -11.953 -8.952 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.050 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -9.000 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.048 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.048 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.048 -11.000 0.000 0.000 0.000 0.000 
-12.000 -12.000 -8.998 -11.000 0.000 0.000 0.000 0.000 
