targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-9.050 -5.003 -9.000 -5.000 0.803 -0.068 0.096 0.637 
-9.050 -5.003 -9.000 -5.000 0.804 -0.068 0.096 0.637 
-9.000 -5.000 -8.002 -4.050 1.246 0.345 -0.201 2.067 
-9.000 -5.000 -8.002 -4.050 1.246 0.344 -0.201 2.066 
-9.000 -5.000 -8.002 -4.050 1.248 0.345 -0.202 2.070 
-8.002 -5.000 -8.000 -4.000 0.657 -0.139 0.126 0.431 
-8.002 -5.000 -8.000 -4.000 0.658 -0.139 0.125 0.432 
-8.000 -4.003 -7.000 -4.000 1.195 0.403 -0.242 2.070 
-8.000 -4.003 -7.000 -4.000 1.195 0.403 -0.243 2.069 
-7.048 -4.000 -6.050 -4.000 1.081 0.357 -0.230 1.947 
-7.048 -4.000 -6.050 -4.000 1.083 0.357 -0.232 1.950 
-7.000 -3.050 -6.000 -3.002 1.138 0.456 -0.281 2.062 
-7.000 -3.050 -6.000 -3.002 1.140 0.457 -0.283 2.066 
-6.050 -3.002 -6.000 -3.000 0.571 -0.002 0.039 0.494 
-6.050 -3.002 -6.000 -3.000 0.571 -0.002 0.038 0.495 
-6.000 -3.000 -5.050 -3.000 1.003 0.393 -0.259 1.874 
-6.000 -3.000 -5.050 -3.000 1.003 0.393 -0.259 1.874 
-6.000 -3.000 -5.000 -3.000 1.029 0.416 -0.278 1.955 
-6.000 -3.000 -5.000 -3.000 1.031 0.416 -0.280 1.956 
-5.000 -3.000 -5.000 -2.998 0.421 -0.075 0.071 0.284 
-5.000 -3.000 -5.000 -2.998 0.422 -0.075 0.070 0.284 
-5.000 -3.000 -5.000 -2.048 0.422 -0.075 0.070 0.284 
-5.000 -3.000 -5.000 -2.048 0.422 -0.075 0.070 0.284 
-4.050 -3.000 -4.003 -2.000 0.330 -0.100 0.070 0.234 
-4.050 -3.000 -4.003 -2.000 0.330 -0.100 0.070 0.234 
-4.000 -2.000 -4.000 -2.000 0.362 -0.018 0.036 0.275 
-4.000 -2.000 -4.000 -2.000 0.362 -0.018 0.036 0.275 
-4.000 -2.000 -4.000 -2.000 0.362 -0.018 0.036 0.275 
-4.000 -2.000 -4.000 -2.000 0.362 -0.018 0.036 0.275 
-4.000 -2.000 -3.050 -2.000 0.830 0.403 -0.286 1.746 
-4.000 -2.000 -3.050 -2.000 0.830 0.402 -0.287 1.745 
-3.050 -2.000 -4.000 -1.048 -0.221 -0.483 0.375 -1.318 
-3.050 -2.000 -4.000 -1.048 -0.223 -0.484 0.378 -1.322 
-3.000 -2.000 -3.000 -1.950 0.241 -0.066 0.053 0.145 
-3.000 -2.000 -3.000 -1.950 0.241 -0.066 0.053 0.145 
-3.000 -2.000 -3.000 -1.000 0.241 -0.066 0.053 0.145 
-3.000 -2.000 -3.000 -1.000 0.241 -0.066 0.053 0.145 
-3.000 -1.002 -2.953 -0.050 0.326 0.060 -0.014 0.339 
-3.000 -1.002 -2.953 -0.050 0.326 0.060 -0.014 0.339 
-3.000 -1.000 -2.952 -1.000 0.326 0.060 -0.015 0.339 
